,Item_Identifier,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
28,FDA01,Regular,0.054378253,Canned,59.1904,OUT046,1997,Tier 1,Supermarket Type1,527.3136
29,FDF52,Low Fat,0.066887123,Frozen Foods,183.9292,OUT049,1999,Tier 1,Supermarket Type1,3283.7256
30,FDU57,Regular,0.089120516,Snack Foods,149.8708,OUT027,1985,Tier 3,Supermarket Type3,3611.2992
31,DRG49,Low Fat,0.067730081,Soft Drinks,242.6486,OUT018,2009,Tier 3,Supermarket Type2,2199.1374
32,FDX55,Low Fat,0.0,Fruits and Vegetables,216.4166,OUT045,2002,Tier 2,Supermarket Type1,2830.3158
33,NCO26,Low Fat,0.076791671,Household,116.4492,OUT013,1987,Tier 3,Supermarket Type1,2316.984
34,FDV19,Regular,0.035400659,Fruits and Vegetables,161.9578,OUT018,2009,Tier 3,Supermarket Type2,1444.1202
35,FDQ26,Regular,0.067859568,Dairy,60.1562,OUT035,2004,Tier 2,Supermarket Type1,1599.9174
36,FDJ26,Regular,0.084765192,Canned,215.0218,OUT046,1997,Tier 1,Supermarket Type1,1923.4962
37,DRE15,Low Fat,0.031139933,Dairy,74.8012,OUT019,1985,Tier 1,Grocery Store,303.6048
38,FDU11,Low Fat,0.092781435,Breads,119.7098,OUT045,2002,Tier 2,Supermarket Type1,1807.647
39,FDG31,Low Fat,0.063430788,Meat,65.4826,OUT010,1998,Tier 3,Grocery Store,258.3304
40,FDP28,Regular,0.081096613,Frozen Foods,261.2936,OUT017,2007,Tier 2,Supermarket Type1,3131.9232
41,DRI01,Low Fat,0.0,Soft Drinks,173.7422,OUT045,2002,Tier 2,Supermarket Type1,2759.0752
42,FDD10,Regular,0.0,Snack Foods,178.1344,OUT035,2004,Tier 2,Supermarket Type1,3568.688
43,FDU36,Low Fat,0.046262201,Baking Goods,97.8384,OUT035,2004,Tier 2,Supermarket Type1,2069.3064
44,FDL51,Regular,0.04745185,Dairy,214.6876,OUT013,1987,Tier 3,Supermarket Type1,3001.4264
45,NCT17,Low Fat,0.041663111,Health and Hygiene,188.6214,OUT027,1985,Tier 3,Supermarket Type3,6029.4848
46,FDC38,Low Fat,0.122470805,Canned,131.7942,OUT035,2004,Tier 2,Supermarket Type1,1987.413
47,FDY25,Low Fat,0.034112833,Canned,180.1976,OUT018,2009,Tier 3,Supermarket Type2,3984.1472
48,DRG03,Low Fat,0.103752817,Dairy,155.1998,OUT010,1998,Tier 3,Grocery Store,307.5996
49,NCX29,Low Fat,0.089152528,Health and Hygiene,147.7102,OUT046,1997,Tier 1,Supermarket Type1,437.4306
50,NCV06,Low Fat,0.066952965,Household,192.0478,OUT018,2009,Tier 3,Supermarket Type2,3099.9648
51,FDD47,Regular,0.142292265,Starchy Foods,171.3448,OUT013,1987,Tier 3,Supermarket Type1,3238.4512
52,FDB52,low fat,0.030497325,Dairy,256.9672,OUT045,2002,Tier 2,Supermarket Type1,1534.0032
53,FDO24,Low Fat,0.176182345,Baking Goods,158.1604,OUT035,2004,Tier 2,Supermarket Type1,1901.5248
54,FDO34,Low Fat,0.030060895,Snack Foods,166.4816,OUT018,2009,Tier 3,Supermarket Type2,2013.3792
55,NCN19,Low Fat,0.012089479,Others,189.853,OUT013,1987,Tier 3,Supermarket Type1,3415.554
56,NCX17,Low Fat,0.113833823,Health and Hygiene,232.83,OUT045,2002,Tier 2,Supermarket Type1,1398.18
57,FDI32,Low Fat,0.291865402,Fruits and Vegetables,115.1834,OUT010,1998,Tier 3,Grocery Store,345.5502
58,FDA19,LF,0.055081623,Fruits and Vegetables,128.8994,OUT013,1987,Tier 3,Supermarket Type1,2055.9904
59,FDI22,Low Fat,0.096756649,Snack Foods,208.7612,OUT017,2007,Tier 2,Supermarket Type1,5226.53
60,FDV49,Low Fat,0.025879577,Canned,265.2226,OUT045,2002,Tier 2,Supermarket Type1,5815.0972
61,FDK08,Regular,0.122494876,Fruits and Vegetables,100.1016,OUT049,1999,Tier 1,Supermarket Type1,1416.8224
62,FDQ09,Low Fat,0.058121214,Snack Foods,115.8834,OUT035,2004,Tier 2,Supermarket Type1,1382.2008
63,NCH06,Low Fat,0.076183667,Household,245.646,OUT027,1985,Tier 3,Supermarket Type3,3695.19
64,FDA15,Low Fat,0.016054884,Dairy,250.2092,OUT045,2002,Tier 2,Supermarket Type1,5976.2208
65,FDP19,Low Fat,0.0,Fruits and Vegetables,128.4652,OUT049,1999,Tier 1,Supermarket Type1,2841.6344
66,FDU03,Regular,0.091950972,Meat,184.2292,OUT018,2009,Tier 3,Supermarket Type2,1277.0044
67,NCM06,LF,0.075713578,Household,156.4656,OUT035,2004,Tier 2,Supermarket Type1,2471.4496
68,DRD01,Regular,0.061163967,Soft Drinks,56.5614,OUT035,2004,Tier 2,Supermarket Type1,828.921
69,FDS60,Low Fat,0.032442388,Baking Goods,178.366,OUT035,2004,Tier 2,Supermarket Type1,4673.916
70,FDY52,Low Fat,0.007359711,Frozen Foods,60.1536,OUT049,1999,Tier 1,Supermarket Type1,490.0288
71,FDR32,Regular,0.085981978,Fruits and Vegetables,228.4694,OUT045,2002,Tier 2,Supermarket Type1,5480.8656
72,FDH31,Regular,0.0,Meat,98.2042,OUT019,1985,Tier 1,Grocery Store,198.4084
73,FDB39,Low Fat,0.038736838,Dairy,55.8272,OUT017,2007,Tier 2,Supermarket Type1,1454.1072
74,FDQ16,Low Fat,0.041730507,Frozen Foods,109.2912,OUT035,2004,Tier 2,Supermarket Type1,2402.2064
75,NCI43,Low Fat,0.025968706,Household,49.5376,OUT046,1997,Tier 1,Supermarket Type1,1006.6896
76,FDA50,Low Fat,0.087102593,Dairy,96.041,OUT013,1987,Tier 3,Supermarket Type1,868.869
77,FDX38,Regular,0.0481669,Dairy,48.8376,OUT013,1987,Tier 3,Supermarket Type1,671.1264
78,FDM10,Low Fat,0.076125668,Snack Foods,214.0218,OUT045,2002,Tier 2,Supermarket Type1,2564.6616
79,FDV51,Low Fat,0.032671446,Meat,165.4842,OUT018,2009,Tier 3,Supermarket Type2,1492.0578
80,FDI41,Regular,0.109003832,Frozen Foods,145.2418,OUT019,1985,Tier 1,Grocery Store,147.1418
81,FDV34,Regular,0.019123874,Snack Foods,73.0038,OUT010,1998,Tier 3,Grocery Store,147.8076
82,FDP13,Regular,0.134870732,Canned,41.948,OUT018,2009,Tier 3,Supermarket Type2,199.74
83,FDD05,Low Fat,0.016645164,Frozen Foods,120.9098,OUT045,2002,Tier 2,Supermarket Type1,1687.1372
84,FDH34,Low Fat,0.031095246,Snack Foods,185.7582,OUT046,1997,Tier 1,Supermarket Type1,3529.4058
85,FDN58,Regular,0.057104066,Snack Foods,232.6984,OUT018,2009,Tier 3,Supermarket Type2,1390.1904
86,FDA15,Low Fat,0.015944801,Dairy,249.5092,OUT027,1985,Tier 3,Supermarket Type3,6474.2392
87,FDM58,Regular,0.080141165,Snack Foods,111.4544,OUT017,2007,Tier 2,Supermarket Type1,2013.3792
88,NCH07,Low Fat,0.092589917,Household,159.5604,OUT013,1987,Tier 3,Supermarket Type1,1901.5248
89,FDR47,Low Fat,0.087045086,Breads,196.7794,OUT027,1985,Tier 3,Supermarket Type3,6242.5408
90,FDJ52,Low Fat,0.017822936,Frozen Foods,161.3578,OUT045,2002,Tier 2,Supermarket Type1,1123.2046
91,NCU06,Low Fat,0.074345142,Household,230.901,OUT013,1987,Tier 3,Supermarket Type1,4364.319
92,FDH10,Low Fat,0.049381666,Snack Foods,193.0478,OUT049,1999,Tier 1,Supermarket Type1,1549.9824
93,FDB49,Regular,0.030198228,Baking Goods,98.2384,OUT049,1999,Tier 1,Supermarket Type1,2167.8448
94,FDY55,Low Fat,0.081446638,Fruits and Vegetables,257.0988,OUT049,1999,Tier 1,Supermarket Type1,6424.97
95,FDS07,Low Fat,0.099674817,Fruits and Vegetables,112.2518,OUT013,1987,Tier 3,Supermarket Type1,1366.2216
96,FDQ01,Regular,0.161610636,Canned,255.2014,OUT017,2007,Tier 2,Supermarket Type1,3570.0196
97,NCZ06,Low Fat,0.094694278,Household,254.9698,OUT017,2007,Tier 2,Supermarket Type1,2536.698
98,NCQ29,Low Fat,0.104230135,Health and Hygiene,259.5278,OUT046,1997,Tier 1,Supermarket Type1,2603.278
99,FDV59,Low Fat,0.048027043,Breads,218.9166,OUT046,1997,Tier 1,Supermarket Type1,5660.6316
100,FDX11,Regular,0.107186944,Baking Goods,181.9634,OUT018,2009,Tier 3,Supermarket Type2,3453.5046
101,FDW07,Regular,0.142570104,Fruits and Vegetables,88.2514,OUT013,1987,Tier 3,Supermarket Type1,1505.3738
102,NCI43,Low Fat,0.025842951,Household,48.6376,OUT027,1985,Tier 3,Supermarket Type3,1677.816
103,FDS12,Low Fat,0.174827835,Baking Goods,127.2362,OUT018,2009,Tier 3,Supermarket Type2,1635.8706
104,NCV41,LF,0.016956266,Health and Hygiene,109.3228,OUT027,1985,Tier 3,Supermarket Type3,2431.5016
105,DRE27,Low Fat,0.132560174,Dairy,97.2726,OUT013,1987,Tier 3,Supermarket Type1,782.9808
106,FDU24,reg,0.140163038,Baking Goods,94.212,OUT046,1997,Tier 1,Supermarket Type1,1025.332
107,FDZ44,Low Fat,0.038729057,Fruits and Vegetables,117.1808,OUT046,1997,Tier 1,Supermarket Type1,1874.8928
108,FDK20,Regular,0.041641933,Fruits and Vegetables,121.1072,OUT045,2002,Tier 2,Supermarket Type1,980.0576
109,NCJ17,Low Fat,0.153177941,Health and Hygiene,85.2224,OUT018,2009,Tier 3,Supermarket Type2,1278.336
110,FDE11,Regular,0.134441765,Starchy Foods,183.9924,OUT027,1985,Tier 3,Supermarket Type3,6478.234
111,FDS32,Regular,0.029821648,Fruits and Vegetables,139.9838,OUT017,2007,Tier 2,Supermarket Type1,1123.8704
112,FDS25,Regular,0.140292495,Canned,108.5228,OUT045,2002,Tier 2,Supermarket Type1,1989.4104
113,FDC50,Low Fat,0.137053947,Canned,94.4094,OUT018,2009,Tier 3,Supermarket Type2,1047.3034
114,FDL57,Regular,0.067181098,Snack Foods,258.8304,OUT049,1999,Tier 1,Supermarket Type1,5424.9384
115,FDZ22,Low Fat,0.045525961,Snack Foods,83.425,OUT017,2007,Tier 2,Supermarket Type1,1498.05
116,DRE15,Low Fat,0.0,Dairy,75.7012,OUT017,2007,Tier 2,Supermarket Type1,1442.1228
117,FDZ09,Low Fat,0.175545889,Snack Foods,163.6868,OUT010,1998,Tier 3,Grocery Store,163.7868
118,FDQ34,LF,0.284065879,Snack Foods,105.5622,OUT019,1985,Tier 1,Grocery Store,211.7244
119,FDR44,reg,0.103129612,Fruits and Vegetables,129.5968,OUT045,2002,Tier 2,Supermarket Type1,2348.9424
120,FDM45,Regular,0.088373591,Snack Foods,119.3756,OUT045,2002,Tier 2,Supermarket Type1,1454.1072
121,NCS17,Low Fat,0.080956792,Health and Hygiene,95.2436,OUT017,2007,Tier 2,Supermarket Type1,1796.3284
122,FDY08,Regular,0.172042892,Fruits and Vegetables,139.9838,OUT017,2007,Tier 2,Supermarket Type1,1966.7732
123,NCK42,LF,0.013146636,Household,214.5192,OUT045,2002,Tier 2,Supermarket Type1,2804.3496
124,FDU31,Regular,0.024991056,Fruits and Vegetables,217.9508,OUT046,1997,Tier 1,Supermarket Type1,2821.6604
125,FDU19,Regular,0.046844194,Fruits and Vegetables,174.2422,OUT049,1999,Tier 1,Supermarket Type1,1379.5376
126,NCC54,Low Fat,0.098108957,Health and Hygiene,240.9196,OUT018,2009,Tier 3,Supermarket Type2,4579.3724
127,FDS23,Low Fat,0.246678647,Breads,129.7994,OUT019,1985,Tier 1,Grocery Store,385.4982
128,FDW12,Regular,0.035542581,Baking Goods,143.3444,OUT013,1987,Tier 3,Supermarket Type1,1596.5884
129,DRE60,Low Fat,0.159304333,Soft Drinks,226.172,OUT035,2004,Tier 2,Supermarket Type1,3848.324
130,FDH16,Low Fat,0.052637056,Frozen Foods,88.583,OUT049,1999,Tier 1,Supermarket Type1,808.947
131,FDW25,Low Fat,0.037398953,Canned,84.2224,OUT046,1997,Tier 1,Supermarket Type1,852.224
132,FDZ16,Regular,0.159081735,Frozen Foods,193.5478,OUT027,1985,Tier 3,Supermarket Type3,4649.9472
133,FDZ45,Low Fat,0.111936685,Snack Foods,198.8084,OUT010,1998,Tier 3,Grocery Store,992.042
134,NCZ42,Low Fat,0.011351778,Household,236.5248,OUT017,2007,Tier 2,Supermarket Type1,4029.4216
135,FDW46,Regular,0.070243155,Snack Foods,65.7484,OUT013,1987,Tier 3,Supermarket Type1,391.4904
136,FDS28,Regular,0.082737261,Frozen Foods,57.3588,OUT018,2009,Tier 3,Supermarket Type2,343.5528
137,FDS52,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,1998,Tier 3,Grocery Store,101.2016
138,FDQ23,Low Fat,0.024521191,Breads,100.6332,OUT035,2004,Tier 2,Supermarket Type1,2665.8632
139,FDY45,Low Fat,0.0,Snack Foods,253.0356,OUT035,2004,Tier 2,Supermarket Type1,4578.0408
140,DRG03,Low Fat,0.061986574,Dairy,153.0998,OUT046,1997,Tier 1,Supermarket Type1,4921.5936
141,FDE44,Low Fat,0.0,Fruits and Vegetables,49.7692,OUT045,2002,Tier 2,Supermarket Type1,837.5764
142,FDA23,Low Fat,0.04714777,Baking Goods,102.4016,OUT013,1987,Tier 3,Supermarket Type1,1720.4272
143,FDG17,Regular,0.035666655,Frozen Foods,246.2486,OUT027,1985,Tier 3,Supermarket Type3,8063.5038
144,FDT31,Low Fat,0.012437935,Fruits and Vegetables,189.9872,OUT013,1987,Tier 3,Supermarket Type1,3781.744
145,FDY36,Low Fat,0.009364957,Baking Goods,74.238,OUT027,1985,Tier 3,Supermarket Type3,1171.808
146,FDB14,Regular,0.102704495,Canned,94.312,OUT035,2004,Tier 2,Supermarket Type1,2982.784
147,FDP40,Regular,0.060154968,Frozen Foods,110.1544,OUT019,1985,Tier 1,Grocery Store,111.8544
148,FDU09,Regular,0.06670068,Snack Foods,55.2956,OUT049,1999,Tier 1,Supermarket Type1,1255.6988
149,FDE39,Low Fat,0.036207786,Dairy,121.0782,OUT045,2002,Tier 2,Supermarket Type1,3456.1678
150,FDR55,Regular,0.132621594,Fruits and Vegetables,190.1872,OUT018,2009,Tier 3,Supermarket Type2,3781.744
151,FDM58,Regular,0.133385398,Snack Foods,109.8544,OUT010,1998,Tier 3,Grocery Store,223.7088
152,FDW31,reg,0.043402224,Fruits and Vegetables,197.0742,OUT017,2007,Tier 2,Supermarket Type1,2587.9646
153,FDO56,Regular,0.045165796,Fruits and Vegetables,118.4808,OUT018,2009,Tier 3,Supermarket Type2,1640.5312
154,FDV28,Regular,0.159698192,Frozen Foods,32.0558,OUT035,2004,Tier 2,Supermarket Type1,1018.674
155,FDV10,Regular,0.0,Snack Foods,41.8112,OUT046,1997,Tier 1,Supermarket Type1,894.8352
156,NCR06,Low Fat,0.006775667,Household,42.9112,OUT049,1999,Tier 1,Supermarket Type1,1022.6688
157,FDE10,Regular,0.09031453,Snack Foods,130.5626,OUT018,2009,Tier 3,Supermarket Type2,1180.4634
158,DRD13,Low Fat,0.048841794,Soft Drinks,64.7168,OUT027,1985,Tier 3,Supermarket Type3,3068.0064
159,NCI42,Low Fat,0.01040777,Household,209.4954,OUT018,2009,Tier 3,Supermarket Type2,2500.7448
160,NCO41,Low Fat,0.018848862,Health and Hygiene,96.7384,OUT046,1997,Tier 1,Supermarket Type1,2167.8448
161,FDX11,Regular,0.106752081,Baking Goods,181.4634,OUT046,1997,Tier 1,Supermarket Type1,1090.5804
162,NCO26,Low Fat,0.077011493,Household,117.3492,OUT045,2002,Tier 2,Supermarket Type1,1506.0396
163,FDE14,Regular,0.031494041,Canned,98.87,OUT049,1999,Tier 1,Supermarket Type1,2197.14
164,FDU13,Low Fat,0.187558629,Canned,148.0418,OUT046,1997,Tier 1,Supermarket Type1,1471.418
165,FDP19,Low Fat,0.173867958,Fruits and Vegetables,128.8652,OUT045,2002,Tier 2,Supermarket Type1,1291.652
166,FDP39,Low Fat,0.121554149,Meat,53.7324,OUT019,1985,Tier 1,Grocery Store,311.5944
167,FDJ38,Regular,0.040205535,Canned,188.753,OUT046,1997,Tier 1,Supermarket Type1,7590.12
168,FDP03,Regular,0.0,Meat,122.9388,OUT017,2007,Tier 2,Supermarket Type1,2105.2596
169,FDA21,Low Fat,0.03595391,Snack Foods,185.2924,OUT035,2004,Tier 2,Supermarket Type1,3146.5708
170,FDK58,Regular,0.044764726,Snack Foods,102.4016,OUT027,1985,Tier 3,Supermarket Type3,2428.8384
171,DRL37,Low Fat,0.053327763,Soft Drinks,44.477,OUT013,1987,Tier 3,Supermarket Type1,865.54
172,FDV23,Low Fat,0.106051405,Breads,124.4046,OUT045,2002,Tier 2,Supermarket Type1,2241.0828
173,FDZ31,Regular,0.113678422,Fruits and Vegetables,189.7504,OUT018,2009,Tier 3,Supermarket Type2,2492.7552
174,FDH20,Regular,0.024928351,Fruits and Vegetables,95.141,OUT013,1987,Tier 3,Supermarket Type1,3089.312
175,FDT25,Low Fat,0.050750977,Canned,122.2072,OUT046,1997,Tier 1,Supermarket Type1,1960.1152
176,FDF09,Low Fat,0.012138795,Fruits and Vegetables,39.2848,OUT013,1987,Tier 3,Supermarket Type1,521.9872
177,FDW45,Low Fat,0.039231652,Snack Foods,145.1418,OUT017,2007,Tier 2,Supermarket Type1,2648.5524
178,FDQ44,Low Fat,0.036133463,Fruits and Vegetables,120.1756,OUT035,2004,Tier 2,Supermarket Type1,3392.9168
179,NCX18,Low Fat,0.00879232,Household,195.011,OUT035,2004,Tier 2,Supermarket Type1,1964.11
180,FDC08,Regular,0.103363904,Fruits and Vegetables,226.172,OUT013,1987,Tier 3,Supermarket Type1,3169.208
181,FDT56,Regular,0.115570552,Fruits and Vegetables,57.5246,OUT035,2004,Tier 2,Supermarket Type1,173.7738
182,FDZ36,Regular,0.066155883,Baking Goods,184.424,OUT017,2007,Tier 2,Supermarket Type1,4660.6
183,FDA09,Regular,0.15021128,Snack Foods,179.066,OUT017,2007,Tier 2,Supermarket Type1,2696.49
184,NCY41,low fat,0.076164013,Health and Hygiene,34.0532,OUT017,2007,Tier 2,Supermarket Type1,575.2512
185,FDW39,Regular,0.036903419,Meat,175.137,OUT035,2004,Tier 2,Supermarket Type1,1235.059
186,FDB09,Low Fat,0.057629899,Fruits and Vegetables,123.9046,OUT018,2009,Tier 3,Supermarket Type2,1120.5414
187,FDR40,Regular,0.00799548,Frozen Foods,78.5618,OUT027,1985,Tier 3,Supermarket Type3,2255.7304
188,NCB18,Low Fat,0.041291169,Household,86.9514,OUT046,1997,Tier 1,Supermarket Type1,1416.8224
189,NCP30,Low Fat,0.032762495,Household,40.0822,OUT035,2004,Tier 2,Supermarket Type1,1257.0304
190,FDS16,Regular,0.066551268,Frozen Foods,144.676,OUT017,2007,Tier 2,Supermarket Type1,3954.852
191,FDV59,Low Fat,0.048124443,Breads,216.7166,OUT045,2002,Tier 2,Supermarket Type1,3918.8988
192,NCQ17,Low Fat,0.195721125,Health and Hygiene,156.463,OUT010,1998,Tier 3,Grocery Store,312.926
193,FDS25,Regular,0.1408005,Canned,111.4228,OUT017,2007,Tier 2,Supermarket Type1,2984.1156
194,FDH10,Low Fat,0.086326707,Snack Foods,192.6478,OUT019,1985,Tier 1,Grocery Store,387.4956
195,DRH36,Low Fat,0.0,Soft Drinks,73.4696,OUT013,1987,Tier 3,Supermarket Type1,2087.9488
196,NCX29,Low Fat,0.089333332,Health and Hygiene,145.6102,OUT045,2002,Tier 2,Supermarket Type1,2624.5836
197,FDE46,Low Fat,0.015693328,Snack Foods,150.7366,OUT027,1985,Tier 3,Supermarket Type3,906.8196
198,FDI53,Regular,0.137618927,Frozen Foods,161.5236,OUT035,2004,Tier 2,Supermarket Type1,1772.3596
199,FDH17,Regular,0.016687114,Frozen Foods,96.9726,OUT045,2002,Tier 2,Supermarket Type1,1076.5986
200,FDT48,Low Fat,0.046214971,Baking Goods,199.8084,OUT017,2007,Tier 2,Supermarket Type1,3968.168
201,FDF20,low fat,0.033287541,Fruits and Vegetables,198.4768,OUT045,2002,Tier 2,Supermarket Type1,1379.5376
202,FDA19,Low Fat,0.055127499,Fruits and Vegetables,128.2994,OUT046,1997,Tier 1,Supermarket Type1,3983.4814
203,FDE44,Low Fat,0.171355643,Fruits and Vegetables,47.6692,OUT035,2004,Tier 2,Supermarket Type1,739.038
204,FDM10,Low Fat,0.07595723,Snack Foods,214.1218,OUT035,2004,Tier 2,Supermarket Type1,1282.3308
205,FDX38,Regular,0.080688663,Dairy,46.7376,OUT010,1998,Tier 3,Grocery Store,47.9376
206,NCH07,Low Fat,0.162248011,Household,160.4604,OUT019,1985,Tier 1,Grocery Store,316.9208
207,FDI21,Regular,0.056602818,Snack Foods,63.2168,OUT046,1997,Tier 1,Supermarket Type1,1725.7536
208,FDL57,Regular,0.067064128,Snack Foods,257.9304,OUT035,2004,Tier 2,Supermarket Type1,6458.26
209,FDB10,Low Fat,0.067312613,Snack Foods,234.359,OUT049,1999,Tier 1,Supermarket Type1,3072.667
210,FDY31,Low Fat,0.043651198,Fruits and Vegetables,146.1418,OUT045,2002,Tier 2,Supermarket Type1,3089.9778
211,FDU08,Low Fat,0.027426689,Fruits and Vegetables,97.3042,OUT018,2009,Tier 3,Supermarket Type2,694.4294
212,FDW32,Regular,0.09468096,Fruits and Vegetables,86.2882,OUT018,2009,Tier 3,Supermarket Type2,1631.8758
213,FDO36,Low Fat,0.136417078,Baking Goods,179.766,OUT019,1985,Tier 1,Grocery Store,179.766
214,FDB35,Regular,0.064882207,Starchy Foods,93.8804,OUT018,2009,Tier 3,Supermarket Type2,1470.0864
215,FDC26,Low Fat,0.211539389,Canned,110.9886,OUT010,1998,Tier 3,Grocery Store,111.1886
216,NCS29,Low Fat,0.069938838,Health and Hygiene,264.8884,OUT017,2007,Tier 2,Supermarket Type1,2914.8724
217,FDZ47,Regular,0.078912473,Baking Goods,99.9042,OUT027,1985,Tier 3,Supermarket Type3,3273.7386
218,FDP39,Low Fat,0.116203156,Meat,53.5324,OUT010,1998,Tier 3,Grocery Store,415.4592
219,DRG48,Low Fat,0.014614357,Soft Drinks,147.3102,OUT018,2009,Tier 3,Supermarket Type2,2332.9632
220,FDG50,Low Fat,0.02556185,Canned,89.7146,OUT010,1998,Tier 3,Grocery Store,182.4292
221,FDT51,Regular,0.019117392,Meat,110.6544,OUT019,1985,Tier 1,Grocery Store,223.7088
222,FDT26,Regular,0.068091318,Dairy,120.644,OUT045,2002,Tier 2,Supermarket Type1,3475.476
223,FDD28,Low Fat,0.053296868,Frozen Foods,59.6904,OUT046,1997,Tier 1,Supermarket Type1,937.4464
224,FDH26,Regular,0.034770109,Canned,141.9496,OUT045,2002,Tier 2,Supermarket Type1,988.0472
225,FDB53,Low Fat,0.139669224,Frozen Foods,147.6392,OUT049,1999,Tier 1,Supermarket Type1,1938.8096
226,FDZ26,Regular,0.144604071,Dairy,240.8222,OUT018,2009,Tier 3,Supermarket Type2,3585.333
227,DRK23,Low Fat,0.071628097,Hard Drinks,251.904,OUT027,1985,Tier 3,Supermarket Type3,4301.068
228,NCZ30,Low Fat,0.043828293,Household,121.4098,OUT010,1998,Tier 3,Grocery Store,241.0196
229,FDH16,Low Fat,0.052300844,Frozen Foods,88.283,OUT027,1985,Tier 3,Supermarket Type3,2157.192
230,FDC53,Low Fat,0.008792907,Frozen Foods,96.7384,OUT027,1985,Tier 3,Supermarket Type3,2956.152
231,NCN17,Low Fat,0.054939029,Health and Hygiene,101.4358,OUT046,1997,Tier 1,Supermarket Type1,1608.5728
232,FDY26,Regular,0.030362777,Dairy,210.5244,OUT027,1985,Tier 3,Supermarket Type3,6775.1808
233,FDZ48,LF,0.07607772,Baking Goods,112.4544,OUT049,1999,Tier 1,Supermarket Type1,2348.9424
234,NCO43,Low Fat,0.047059016,Others,100.1016,OUT013,1987,Tier 3,Supermarket Type1,2125.2336
235,FDK20,Regular,0.041622264,Fruits and Vegetables,124.0072,OUT049,1999,Tier 1,Supermarket Type1,4042.7376
236,FDK41,Low Fat,0.12780038,Frozen Foods,83.6224,OUT045,2002,Tier 2,Supermarket Type1,852.224
